levene_p,anova_p,kruskal_p,eta_sq,omega_sq,n
0.18128856771357826,0.12674952936004258,0.209562580182306,0.007181449570605764,0.003187039165257232,1000
0.2209570041874041,0.05500465089252948,0.09343277476942592,0.008409905071484628,0.004783326551901308,1100
0.04842626097738699,0.03682157906270378,0.08567342245336483,0.008511920364050258,0.005188826658340767,1200
0.0713720032966888,0.05409888315434256,0.05863810914095289,0.0071476343573517905,0.004077782543748909,1300
0.09115269025563233,0.07166235082938915,0.0936958287705158,0.0061476614592577885,0.0032955577660996505,1400
0.08078665374274209,0.06013000712964568,0.090647247412695,0.006023953260199836,0.0033622501277253826,1500
0.14187012542090432,0.046457539146389205,0.05965198464670194,0.0060377122164747285,0.0035428090379727444,1600
0.2960265564742599,0.11901939624493718,0.08141485875492921,0.004317924301082253,0.001967076580911862,1700
0.19574031184559845,0.10620046464179247,0.07561497545394211,0.004238148064088479,0.0020180606459548962,1800
0.09340588639480683,0.08855763417177422,0.053955187033053464,0.004254512664043349,0.002151544674468558,1900
0.10770565584904902,0.061659951602656124,0.03409374929442111,0.004487734009755153,0.0024904766844175696,2000
0.09161096246918252,0.034439515259315,0.0210173199561995,0.004941731709650032,0.003040415020739854,2100
0.10460986365115883,0.023059245815886524,0.014761923854254084,0.005147756723691038,0.0033333033672274196,2200
0.0547189110024986,0.0070190396263172545,0.004471698614065114,0.00611715903706114,0.0043830032394300686,2300
0.034072186176478524,0.0037575291070940683,0.0016860324847254762,0.006451090881799555,0.00478973202188385,2400
0.05910830300018811,0.004348831228634216,0.0022030655822471604,0.0060618762677625395,0.004466608921942791,2500
0.06348521046394301,0.007141623474471812,0.004021829289860311,0.00539700899391061,0.003862421887788652,2600
0.054861727805616003,0.0031905636607816893,0.0018613099060272567,0.005871312613087095,0.004394176017174756,2700
0.050461681644107574,0.003153717623131495,0.0014694958597202925,0.0056712200274790184,0.0042466984767078764,2800
0.034640066753459715,0.0022713655431132944,0.0014786049893628118,0.0057290254112789245,0.0043537533183912284,2900
0.023834768457486895,0.0032774528792714735,0.0032268601631791198,0.005264859713386372,0.003935025032643691,3000
0.013773687049657726,0.0016287934175069146,0.001433469627379865,0.005598692482834653,0.004312135706274663,3100
0.008084402833238564,0.0011927043435397433,0.001381904214400077,0.005639794562012931,0.004393531784260335,3200
0.015815018416195478,0.0023275062193600054,0.0022844741712041844,0.005018992770353383,0.003809974596975355,3300
0.01176061339601194,0.0017032265261866263,0.0015250766664201664,0.005076169512801686,0.0039028032936702073,3400
0.004670593651295797,0.0010255620664250864,0.0012681790016125765,0.005252425484268184,0.004112774133722554,3500
0.004844865552955963,0.0017035608541005596,0.003106465377928954,0.00479440302487867,0.003686060667129796,3600
0.002232344643720726,0.00039647694972791116,0.0006955008620373344,0.005533109947314543,0.004455356695642572,3700
0.002316112687448774,0.00022257963211458578,0.0003335273826103003,0.005718859029634992,0.004669644931144471,3800
0.0018220783409949675,0.00011422411550573903,0.0001411337836435674,0.005943253409209263,0.004921143298282495,3900
0.0008461696442962588,9.35058099040813e-05,0.00011182033678635902,0.005903035519270786,0.004906473474637405,4000
0.000732260318309225,0.00011389529224287693,0.00013649206917199064,0.005655397598220609,0.004682983700986585,4100
0.0008897851506517679,0.00012058877989342316,0.00014253108337100308,0.005491583106454784,0.004542226503340793,4200
0.001057120285979628,9.03277123102553e-05,8.702501525085809e-05,0.005509307444377562,0.0045820619058116645,4300
0.0004633116682372054,3.158782108184376e-05,3.808014848964955e-05,0.0058978873651572145,0.004992000901179624,4400
0.0006512354385176775,8.499969292308748e-05,0.00010839657114846984,0.005294040482344682,0.004407898457664947,4500
0.0007646551986857133,0.00011346901861330535,0.00014938170234841486,0.005043462292387696,0.00417643693350592,4600
0.0005607781772451239,0.00014815286731082844,0.00026073762391081665,0.004813438063414894,0.003964728395221711,4700
0.00029581228713616056,7.603689541363017e-05,0.00013825714173339927,0.005013801106842847,0.004182913361975494,4800
0.00012238123527329875,2.2580749582498018e-05,4.541895883877466e-05,0.005443900396223934,0.004630247803862113,4900
7.19458790864412e-05,2.137507050098902e-05,5.697784446765183e-05,0.005358706930960526,0.004561289109384154,5000
